name,url,duration,test_type,remote_testing,adaptive_irt
SHL Verify Interactive – Deductive Reasoning,https://www.shl.com/solutions/products/product-catalog/view/shl-verify-interactive-deductive-reasoning/,N/A,"A, S",Yes,Yes
SHL Verify Interactive – Numerical Reasoning,https://www.shl.com/solutions/products/product-catalog/view/shl-verify-interactive-numerical-reasoning/,N/A,"A, S",Yes,Yes
SHL Verify Interactive G+,https://www.shl.com/solutions/products/product-catalog/view/shl-verify-interactive-g/,N/A,A,Yes,Yes
SHL Verify Interactive Numerical Calculation,https://www.shl.com/solutions/products/product-catalog/view/shl-verify-interactive-numerical-calculation/,N/A,A,Yes,Yes
Siebel Development (New),https://www.shl.com/solutions/products/product-catalog/view/siebel-development-new/,N/A,K,Yes,No
Smart Interview Live,https://www.shl.com/solutions/products/product-catalog/view/smart-interview-live/,N/A,P,Yes,No
Smart Interview Live Coding,https://www.shl.com/solutions/products/product-catalog/view/smart-interview-live-coding/,N/A,K,Yes,No
Smart Interview On Demand,https://www.shl.com/solutions/products/product-catalog/view/smart-interview-on-demand/,N/A,P,Yes,No
Social Media (New),https://www.shl.com/solutions/products/product-catalog/view/social-media-new/,N/A,K,Yes,No
Software Business Analysis,https://www.shl.com/solutions/products/product-catalog/view/software-business-analysis/,N/A,K,Yes,Yes
SonarQube (New),https://www.shl.com/solutions/products/product-catalog/view/sonarqube-new/,N/A,K,Yes,No
Spelling (U.S.) (New),https://www.shl.com/solutions/products/product-catalog/view/spelling-u-s-new/,N/A,K,Yes,No
Split Screen Typing Test - Form 1,https://www.shl.com/solutions/products/product-catalog/view/split-screen-typing-test-form-1/,N/A,"A, K",Yes,No
Spring (New),https://www.shl.com/solutions/products/product-catalog/view/spring-new/,N/A,K,Yes,No
SQL (New),https://www.shl.com/solutions/products/product-catalog/view/sql-new/,N/A,K,Yes,No
SQL Server (New),https://www.shl.com/solutions/products/product-catalog/view/sql-server-new/,N/A,K,Yes,No
SQL Server Analysis Services (SSAS) (New),https://www.shl.com/solutions/products/product-catalog/view/sql-server-analysis-services-%28ssas%29-%28new%29/,N/A,K,Yes,No
SQL Server Integration Services (SSIS) (New),https://www.shl.com/solutions/products/product-catalog/view/sql-server-integration-services-ssis-new/,N/A,K,Yes,No
SQL Server Reporting Services (SSRS) (New),https://www.shl.com/solutions/products/product-catalog/view/sql-server-reporting-services-ssrs-new/,N/A,K,Yes,No
Statistical Analysis System (New),https://www.shl.com/solutions/products/product-catalog/view/statistical-analysis-system-new/,N/A,K,Yes,No
Struts (New),https://www.shl.com/solutions/products/product-catalog/view/struts-new/,N/A,K,Yes,No
SVAR - Spoken English (AUS),https://www.shl.com/solutions/products/product-catalog/view/svar-spoken-english-aus/,N/A,S,Yes,No
SVAR - Spoken English (Indian Accent)  (New),https://www.shl.com/solutions/products/product-catalog/view/svar-spoken-english-indian-accent-new/,N/A,S,Yes,No
SVAR - Spoken English (U.K.),https://www.shl.com/solutions/products/product-catalog/view/svar-spoken-english-u-k/,N/A,S,Yes,No
SVAR - Spoken English (US)  (New),https://www.shl.com/solutions/products/product-catalog/view/svar-spoken-english-us-new/,N/A,S,Yes,No
SVAR - Spoken French (Canadian) (New),https://www.shl.com/solutions/products/product-catalog/view/svar-spoken-french-canadian-new/,N/A,S,Yes,No
SVAR - Spoken French (European) (New),https://www.shl.com/solutions/products/product-catalog/view/svar-spoken-french-european-new/,N/A,S,Yes,No
SVAR - Spoken Spanish (Castilian) (New),https://www.shl.com/solutions/products/product-catalog/view/svar-spoken-spanish-castilian-new/,N/A,S,Yes,No
SVAR - Spoken Spanish (North American) (New),https://www.shl.com/solutions/products/product-catalog/view/svar-spoken-spanish-north-american-new/,N/A,S,Yes,No
Swing (New),https://www.shl.com/solutions/products/product-catalog/view/swing-new/,N/A,K,Yes,No
Tableau (New),https://www.shl.com/solutions/products/product-catalog/view/tableau-new/,N/A,K,Yes,No
Telecommunications Engineering (New),https://www.shl.com/solutions/products/product-catalog/view/telecommunications-engineering-new/,N/A,K,Yes,No
Teradata Development (New),https://www.shl.com/solutions/products/product-catalog/view/teradata-development-new/,N/A,K,Yes,No
Time Management (U.S.),https://www.shl.com/solutions/products/product-catalog/view/time-management-u-s/,N/A,K,Yes,Yes
Training Development,https://www.shl.com/solutions/products/product-catalog/view/training-development/,N/A,K,Yes,Yes
Typing (New),https://www.shl.com/solutions/products/product-catalog/view/typing-new/,N/A,S,Yes,No
UiPath RPA Development (New),https://www.shl.com/solutions/products/product-catalog/view/uipath-rpa-development-new/,N/A,K,Yes,No
Universal Competency Framework Interview Guide,https://www.shl.com/solutions/products/product-catalog/view/universal-competency-framework-interview-guide/,N/A,"C, P",Yes,No
Universal Competency Framework Job profiling guide,https://www.shl.com/solutions/products/product-catalog/view/universal-competency-framework-job-profiling-guide/,N/A,"C, P",Yes,No
Universal Competency Framework Profiler Cards (44),https://www.shl.com/solutions/products/product-catalog/view/universal-competency-framework-profiler-cards-44/,N/A,"C, P",Yes,No
UNIX (New),https://www.shl.com/solutions/products/product-catalog/view/unix-new/,N/A,K,Yes,No
VB.NET (New),https://www.shl.com/solutions/products/product-catalog/view/vb-net-new/,N/A,K,Yes,No
Verify - Deductive Reasoning,https://www.shl.com/solutions/products/product-catalog/view/verify-deductive-reasoning/,N/A,A,Yes,Yes
Verify - Following Instructions,https://www.shl.com/solutions/products/product-catalog/view/verify-following-instructions/,N/A,A,Yes,No
Verify - G+,https://www.shl.com/solutions/products/product-catalog/view/verify-g/,N/A,A,Yes,Yes
Verify - General Ability Screen,https://www.shl.com/solutions/products/product-catalog/view/verify-general-ability-screen/,N/A,A,Yes,Yes
Verify - Inductive Reasoning (2014),https://www.shl.com/solutions/products/product-catalog/view/verify-inductive-reasoning-2014/,N/A,A,Yes,Yes
Verify - Numerical Ability,https://www.shl.com/solutions/products/product-catalog/view/verify-numerical-ability/,N/A,A,Yes,Yes
Verify - Technical Checking - Next Generation,https://www.shl.com/solutions/products/product-catalog/view/verify-technical-checking-next-generation/,N/A,A,Yes,No
Verify - Verbal Ability - Next Generation,https://www.shl.com/solutions/products/product-catalog/view/verify-verbal-ability-next-generation/,N/A,A,Yes,Yes
Verify - Working with Information,https://www.shl.com/solutions/products/product-catalog/view/verify-working-with-information/,N/A,A,Yes,No
Verify G+ - Ability Test Report,https://www.shl.com/solutions/products/product-catalog/view/verify-g-ability-test-report/,N/A,A,Yes,No
Verify G+ - Candidate Report,https://www.shl.com/solutions/products/product-catalog/view/verify-g-candidate-report/,N/A,A,Yes,No
Verify Interactive Ability Report,https://www.shl.com/solutions/products/product-catalog/view/verify-interactive-ability-report/,N/A,A,Yes,No
Verify Interactive G+ Candidate Report,https://www.shl.com/solutions/products/product-catalog/view/verify-interactive-g-candidate-report/,N/A,A,Yes,No
Verify Interactive G+ Report,https://www.shl.com/solutions/products/product-catalog/view/verify-interactive-g-report/,N/A,A,Yes,No
Verify Interactive Process Monitoring,https://www.shl.com/solutions/products/product-catalog/view/verify-interactive-process-monitoring/,N/A,A,Yes,No
Virtual Assessment and Development Centers,https://www.shl.com/solutions/products/product-catalog/view/virtual-assessment-and-development-centers/,N/A,P,Yes,No
Visual Basic for Applications (New),https://www.shl.com/solutions/products/product-catalog/view/visual-basic-for-applications-new/,N/A,K,Yes,No
Visual Comparison - UK,https://www.shl.com/solutions/products/product-catalog/view/visual-comparison-uk/,N/A,K,Yes,No
Visual Comparison - US,https://www.shl.com/solutions/products/product-catalog/view/visual-comparison-us/,N/A,K,Yes,No
VLSI and Embedded Systems (New),https://www.shl.com/solutions/products/product-catalog/view/vlsi-and-embedded-systems-new/,N/A,K,Yes,No
What Is The Value - US,https://www.shl.com/solutions/products/product-catalog/view/what-is-the-value-us/,N/A,K,Yes,Yes
Workplace Administration Skills (New),https://www.shl.com/solutions/products/product-catalog/view/workplace-administration-skills-new/,N/A,K,Yes,No
Workplace Health and Safety (New),https://www.shl.com/solutions/products/product-catalog/view/workplace-health-and-safety-new/,N/A,K,Yes,No
WriteX - Email Writing (Customer Service) (New),https://www.shl.com/solutions/products/product-catalog/view/writex-email-writing-customer-service-new/,N/A,S,Yes,No
WriteX - Email Writing (Managerial) (New),https://www.shl.com/solutions/products/product-catalog/view/writex-email-writing-managerial-new/,N/A,S,Yes,No
WriteX - Email Writing (Sales) (New),https://www.shl.com/solutions/products/product-catalog/view/writex-email-writing-sales-new/,N/A,"B, S",Yes,No
Written English v1,https://www.shl.com/solutions/products/product-catalog/view/written-english-v1/,N/A,K,Yes,Yes
Written Spanish,https://www.shl.com/solutions/products/product-catalog/view/written-spanish/,N/A,K,Yes,Yes
Zabbix (New),https://www.shl.com/solutions/products/product-catalog/view/zabbix-new/,N/A,K,Yes,No
360 Digital Report,https://www.shl.com/solutions/products/product-catalog/view/360-digital-report/,N/A,D,Yes,No
360° Multi-Rater Feedback System (MFS),https://www.shl.com/solutions/products/product-catalog/view/360-multi-rater-feedback-system-mfs/,N/A,"D, P",Yes,No
